neurons,batch_size,learning_rate,activation,score
50,4,1e-05,linear,0.004133538343012333
50,4,1e-05,relu,0.13278304040431976
50,4,1e-05,tanh,0.1948215216398239
50,4,0.0001,linear,0.02502748928964138
50,4,0.0001,relu,0.03096091002225876
50,4,0.0001,tanh,0.028006184846162796
50,4,0.001,linear,0.00037905501085333526
50,4,0.001,relu,0.01114328857511282
50,4,0.001,tanh,0.010269573889672756
50,8,1e-05,linear,0.2289162278175354
50,8,1e-05,relu,0.18008321523666382
50,8,1e-05,tanh,0.14109408855438232
50,8,0.0001,linear,0.03036852367222309
50,8,0.0001,relu,0.08974206447601318
50,8,0.0001,tanh,0.03933219984173775
50,8,0.001,linear,0.014651685953140259
50,8,0.001,relu,0.015016711317002773
50,8,0.001,tanh,0.01494183111935854
50,16,1e-05,linear,0.3789694905281067
50,16,1e-05,relu,0.2479955554008484
50,16,1e-05,tanh,0.17514272034168243
50,16,0.0001,linear,0.11058526486158371
50,16,0.0001,relu,0.07460711896419525
50,16,0.0001,tanh,0.06901993602514267
50,16,0.001,linear,0.015076697804033756
50,16,0.001,relu,0.023091183975338936
50,16,0.001,tanh,0.01992703601717949
50,32,1e-05,linear,0.14331255853176117
50,32,1e-05,relu,0.15622976422309875
50,32,1e-05,tanh,0.16315332055091858
50,32,0.0001,linear,0.5885988473892212
50,32,0.0001,relu,0.18256813287734985
50,32,0.0001,tanh,0.11592738330364227
50,32,0.001,linear,0.025068091228604317
50,32,0.001,relu,0.03503890335559845
50,32,0.001,tanh,0.022399241104722023
50,64,1e-05,linear,0.4267691373825073
50,64,1e-05,relu,0.5418745279312134
50,64,1e-05,tanh,0.15983258187770844
50,64,0.0001,linear,0.33683741092681885
50,64,0.0001,relu,0.3055834174156189
50,64,0.0001,tanh,0.09872704744338989
50,64,0.001,linear,0.05956206098198891
50,64,0.001,relu,0.10019998997449875
50,64,0.001,tanh,0.042021021246910095
50,128,1e-05,linear,0.3823200762271881
50,128,1e-05,relu,0.27049267292022705
50,128,1e-05,tanh,0.17760731279850006
50,128,0.0001,linear,0.21173842251300812
50,128,0.0001,relu,0.09571487456560135
50,128,0.0001,tanh,0.20303139090538025
50,128,0.001,linear,0.19640415906906128
50,128,0.001,relu,0.1124330386519432
50,128,0.001,tanh,0.09619677066802979
50,256,1e-05,linear,0.3857124447822571
50,256,1e-05,relu,0.16735033690929413
50,256,1e-05,tanh,0.17526207864284515
50,256,0.0001,linear,0.5520957708358765
50,256,0.0001,relu,0.1776735782623291
50,256,0.0001,tanh,0.27075380086898804
50,256,0.001,linear,0.16084088385105133
50,256,0.001,relu,0.13639497756958008
50,256,0.001,tanh,0.1362789422273636
100,4,1e-05,linear,0.06400419771671295
100,4,1e-05,relu,0.15895922482013702
100,4,1e-05,tanh,0.12947437167167664
100,4,0.0001,linear,0.016929421573877335
100,4,0.0001,relu,0.01916244626045227
100,4,0.0001,tanh,0.019616737961769104
100,4,0.001,linear,0.011585738509893417
100,4,0.001,relu,0.010502885095775127
100,4,0.001,tanh,0.009514670819044113
100,8,1e-05,linear,0.254909873008728
100,8,1e-05,relu,0.16623681783676147
100,8,1e-05,tanh,0.08259488642215729
100,8,0.0001,linear,0.027851052582263947
100,8,0.0001,relu,0.0458860918879509
100,8,0.0001,tanh,0.024002403020858765
100,8,0.001,linear,0.011502542532980442
100,8,0.001,relu,0.0127023970708251
100,8,0.001,tanh,0.011378258466720581
100,16,1e-05,linear,0.1505902111530304
100,16,1e-05,relu,0.1803172379732132
100,16,1e-05,tanh,0.1476389467716217
100,16,0.0001,linear,0.025956520810723305
100,16,0.0001,relu,0.07917962223291397
100,16,0.0001,tanh,0.025751439854502678
100,16,0.001,linear,0.01648380048573017
100,16,0.001,relu,0.018933890387415886
100,16,0.001,tanh,0.013612672686576843
100,32,1e-05,linear,0.19347485899925232
100,32,1e-05,relu,0.20449459552764893
100,32,1e-05,tanh,0.25275886058807373
100,32,0.0001,linear,0.07815691828727722
100,32,0.0001,relu,0.1693916767835617
100,32,0.0001,tanh,0.08930882811546326
100,32,0.001,linear,0.023431940004229546
100,32,0.001,relu,0.024105491116642952
100,32,0.001,tanh,0.020913494750857353
100,64,1e-05,linear,0.3475103974342346
100,64,1e-05,relu,0.10870761424303055
100,64,1e-05,tanh,0.25837016105651855
100,64,0.0001,linear,0.15535686910152435
100,64,0.0001,relu,0.17056430876255035
100,64,0.0001,tanh,0.11667187511920929
100,64,0.001,linear,0.02832624688744545
100,64,0.001,relu,0.03310849890112877
100,64,0.001,tanh,0.03187842294573784
100,128,1e-05,linear,0.22049695253372192
100,128,1e-05,relu,0.157406747341156
100,128,1e-05,tanh,0.2213401049375534
100,128,0.0001,linear,0.14665628969669342
100,128,0.0001,relu,0.21516329050064087
100,128,0.0001,tanh,0.16325414180755615
100,128,0.001,linear,0.040989961475133896
100,128,0.001,relu,0.04624152183532715
100,128,0.001,tanh,0.03352058306336403
100,256,1e-05,linear,0.15916793048381805
100,256,1e-05,relu,0.1631540060043335
100,256,1e-05,tanh,0.20172710716724396
100,256,0.0001,linear,0.15595073997974396
100,256,0.0001,relu,0.18623162806034088
100,256,0.0001,tanh,0.19698596000671387
100,256,0.001,linear,0.060147665441036224
100,256,0.001,relu,0.07198958843946457
100,256,0.001,tanh,0.038143258541822433
150,4,1e-05,linear,0.026898199692368507
150,4,1e-05,relu,0.0597882978618145
150,4,1e-05,tanh,0.044456738978624344
150,4,0.0001,linear,0.01717623695731163
150,4,0.0001,relu,0.021589815616607666
150,4,0.0001,tanh,0.02076598070561886
150,4,0.001,linear,0.009307721629738808
150,4,0.001,relu,0.009326651692390442
150,4,0.001,tanh,0.009464165195822716
150,8,1e-05,linear,0.12852677702903748
150,8,1e-05,relu,0.11570645868778229
150,8,1e-05,tanh,0.06873929500579834
150,8,0.0001,linear,0.02505537122488022
150,8,0.0001,relu,0.021382391452789307
150,8,0.0001,tanh,0.021581683307886124
150,8,0.001,linear,0.01097639836370945
150,8,0.001,relu,0.010746057145297527
150,8,0.001,tanh,0.01060875691473484
150,16,1e-05,linear,0.1545524150133133
150,16,1e-05,relu,0.10844943672418594
150,16,1e-05,tanh,0.22926770150661469
150,16,0.0001,linear,0.027349796146154404
150,16,0.0001,relu,0.037246715277433395
150,16,0.0001,tanh,0.026150932535529137
150,16,0.001,linear,0.01334800198674202
150,16,0.001,relu,0.01401534304022789
150,16,0.001,tanh,0.012604499235749245
150,32,1e-05,linear,0.14292840659618378
150,32,1e-05,relu,0.136387899518013
150,32,1e-05,tanh,0.17388249933719635
150,32,0.0001,linear,0.03508672118186951
150,32,0.0001,relu,0.12432776391506195
150,32,0.0001,tanh,0.03611161932349205
150,32,0.001,linear,0.01981430873274803
150,32,0.001,relu,0.019302165135741234
150,32,0.001,tanh,0.017383040860295296
150,64,1e-05,linear,0.16436520218849182
150,64,1e-05,relu,0.18326522409915924
150,64,1e-05,tanh,0.1749112457036972
150,64,0.0001,linear,0.08015654981136322
150,64,0.0001,relu,0.093299999833107
150,64,0.0001,tanh,0.11666083335876465
150,64,0.001,linear,0.02352561615407467
150,64,0.001,relu,0.026828106492757797
150,64,0.001,tanh,0.02316998317837715
150,128,1e-05,linear,0.2417462170124054
150,128,1e-05,relu,0.15390896797180176
150,128,1e-05,tanh,0.15316466987133026
150,128,0.0001,linear,0.12326408922672272
150,128,0.0001,relu,0.12101388722658157
150,128,0.0001,tanh,0.09327498823404312
150,128,0.001,linear,0.02614668384194374
150,128,0.001,relu,0.03693071007728577
150,128,0.001,tanh,0.03330513462424278
150,256,1e-05,linear,0.17287132143974304
150,256,1e-05,relu,0.13805347681045532
150,256,1e-05,tanh,0.21259286999702454
150,256,0.0001,linear,0.14426513016223907
150,256,0.0001,relu,0.18095314502716064
150,256,0.0001,tanh,0.11421432346105576
150,256,0.001,linear,0.042956311255693436
150,256,0.001,relu,0.05664093792438507
150,256,0.001,tanh,0.03754909709095955
200,4,1e-05,linear,0.04092228412628174
200,4,1e-05,relu,0.08603579550981522
200,4,1e-05,tanh,0.02898651920258999
200,4,0.0001,linear,0.01669432781636715
200,4,0.0001,relu,0.018756980076432228
200,4,0.0001,tanh,0.016312837600708008
200,4,0.001,linear,0.00844387523829937
200,4,0.001,relu,0.008671943098306656
200,4,0.001,tanh,0.008473029360175133
200,8,1e-05,linear,0.06192714348435402
200,8,1e-05,relu,0.10973559319972992
200,8,1e-05,tanh,0.07003834843635559
200,8,0.0001,linear,0.021262334659695625
200,8,0.0001,relu,0.0276607945561409
200,8,0.0001,tanh,0.022543800994753838
200,8,0.001,linear,0.012299569323658943
200,8,0.001,relu,0.010464455001056194
200,8,0.001,tanh,0.010615823790431023
200,16,1e-05,linear,0.10746770352125168
200,16,1e-05,relu,0.11443783342838287
200,16,1e-05,tanh,0.08084697276353836
200,16,0.0001,linear,0.028137650340795517
200,16,0.0001,relu,0.032362163066864014
200,16,0.0001,tanh,0.02559490129351616
200,16,0.001,linear,0.01459862943738699
200,16,0.001,relu,0.015290195122361183
200,16,0.001,tanh,0.012043412774801254
200,32,1e-05,linear,0.19437125325202942
200,32,1e-05,relu,0.13243962824344635
200,32,1e-05,tanh,0.14312255382537842
200,32,0.0001,linear,0.03616565465927124
200,32,0.0001,relu,0.05323476344347
200,32,0.0001,tanh,0.031224563717842102
200,32,0.001,linear,0.01789477840065956
200,32,0.001,relu,0.020552832633256912
200,32,0.001,tanh,0.018956301733851433
200,64,1e-05,linear,0.1867309957742691
200,64,1e-05,relu,0.10551010817289352
200,64,1e-05,tanh,0.1275383085012436
200,64,0.0001,linear,0.04306938126683235
200,64,0.0001,relu,0.17235594987869263
200,64,0.0001,tanh,0.0616375133395195
200,64,0.001,linear,0.022868653759360313
200,64,0.001,relu,0.02357593923807144
200,64,0.001,tanh,0.024346405640244484
200,128,1e-05,linear,0.13131192326545715
200,128,1e-05,relu,0.160338893532753
200,128,1e-05,tanh,0.16696797311306
200,128,0.0001,linear,0.052034150809049606
200,128,0.0001,relu,0.14795958995819092
200,128,0.0001,tanh,0.09971499443054199
200,128,0.001,linear,0.024754563346505165
200,128,0.001,relu,0.03163905441761017
200,128,0.001,tanh,0.031240753829479218
200,256,1e-05,linear,0.15378311276435852
200,256,1e-05,relu,0.18582339584827423
200,256,1e-05,tanh,0.20542025566101074
200,256,0.0001,linear,0.14092722535133362
200,256,0.0001,relu,0.13671603798866272
200,256,0.0001,tanh,0.20771487057209015
200,256,0.001,linear,0.03551258519291878
200,256,0.001,relu,0.03904896229505539
200,256,0.001,tanh,0.038485538214445114
250,4,1e-05,linear,0.029409360140562057
250,4,1e-05,relu,0.09229694306850433
250,4,1e-05,tanh,0.031215330585837364
250,4,0.0001,linear,0.015783492475748062
250,4,0.0001,relu,0.01888144761323929
250,4,0.0001,tanh,0.015943894162774086
250,4,0.001,linear,0.008534234017133713
250,4,0.001,relu,0.008391072042286396
250,4,0.001,tanh,0.009013921022415161
250,8,1e-05,linear,0.07097268104553223
250,8,1e-05,relu,0.08887498825788498
250,8,1e-05,tanh,0.049316417425870895
250,8,0.0001,linear,0.01872185245156288
250,8,0.0001,relu,0.02317192405462265
250,8,0.0001,tanh,0.02292555570602417
250,8,0.001,linear,0.009896207600831985
250,8,0.001,relu,0.010208724066615105
250,8,0.001,tanh,0.010541768744587898
250,16,1e-05,linear,0.04287244752049446
250,16,1e-05,relu,0.15140265226364136
250,16,1e-05,tanh,0.08792079985141754
250,16,0.0001,linear,0.023976029828190804
250,16,0.0001,relu,0.03443088009953499
250,16,0.0001,tanh,0.026134146377444267
250,16,0.001,linear,0.013643685728311539
250,16,0.001,relu,0.014056498184800148
250,16,0.001,tanh,0.012509996071457863
250,32,1e-05,linear,0.1634887307882309
250,32,1e-05,relu,0.09120345860719681
250,32,1e-05,tanh,0.20136892795562744
250,32,0.0001,linear,0.03267820179462433
250,32,0.0001,relu,0.0358855240046978
250,32,0.0001,tanh,0.030256053432822227
250,32,0.001,linear,0.015126215294003487
250,32,0.001,relu,0.019963877275586128
250,32,0.001,tanh,0.017336267977952957
250,64,1e-05,linear,0.14154104888439178
250,64,1e-05,relu,0.12877316772937775
250,64,1e-05,tanh,0.1607508659362793
250,64,0.0001,linear,0.030262887477874756
250,64,0.0001,relu,0.1140599176287651
250,64,0.0001,tanh,0.06077978014945984
250,64,0.001,linear,0.021244749426841736
250,64,0.001,relu,0.024031633511185646
250,64,0.001,tanh,0.024034522473812103
250,128,1e-05,linear,0.19542475044727325
250,128,1e-05,relu,0.1285676509141922
250,128,1e-05,tanh,0.12112829089164734
250,128,0.0001,linear,0.09946068376302719
250,128,0.0001,relu,0.17109429836273193
250,128,0.0001,tanh,0.05857057496905327
250,128,0.001,linear,0.024223335087299347
250,128,0.001,relu,0.03701087832450867
250,128,0.001,tanh,0.025530125945806503
250,256,1e-05,linear,0.14856627583503723
250,256,1e-05,relu,0.15246635675430298
250,256,1e-05,tanh,0.1907595843076706
250,256,0.0001,linear,0.09615545719861984
250,256,0.0001,relu,0.14564235508441925
250,256,0.0001,tanh,0.10265902429819107
250,256,0.001,linear,0.03629635274410248
250,256,0.001,relu,0.036023516207933426
250,256,0.001,tanh,0.0416550487279892
300,4,1e-05,linear,0.030926475301384926
300,4,1e-05,relu,0.05777168273925781
300,4,1e-05,tanh,0.030924737453460693
300,4,0.0001,linear,0.014753307215869427
300,4,0.0001,relu,0.017822451889514923
300,4,0.0001,tanh,0.014182861894369125
300,4,0.001,linear,0.008287915959954262
300,4,0.001,relu,0.008023219183087349
300,4,0.001,tanh,0.008383779786527157
300,8,1e-05,linear,0.03631582111120224
300,8,1e-05,relu,0.08703868091106415
300,8,1e-05,tanh,0.05242244154214859
300,8,0.0001,linear,0.01748150773346424
300,8,0.0001,relu,0.023688701912760735
300,8,0.0001,tanh,0.022328151389956474
300,8,0.001,linear,0.010964577086269855
300,8,0.001,relu,0.01060008630156517
300,8,0.001,tanh,0.010039515793323517
300,16,1e-05,linear,0.10486065596342087
300,16,1e-05,relu,0.12646998465061188
300,16,1e-05,tanh,0.0709577277302742
300,16,0.0001,linear,0.0220900047570467
300,16,0.0001,relu,0.02776785008609295
300,16,0.0001,tanh,0.023279625922441483
300,16,0.001,linear,0.011739742942154408
300,16,0.001,relu,0.014403353445231915
300,16,0.001,tanh,0.01288349274545908
300,32,1e-05,linear,0.14447121322155
300,32,1e-05,relu,0.149617001414299
300,32,1e-05,tanh,0.16354511678218842
300,32,0.0001,linear,0.028817983344197273
300,32,0.0001,relu,0.05555098131299019
300,32,0.0001,tanh,0.03317464515566826
300,32,0.001,linear,0.016400277614593506
300,32,0.001,relu,0.0192986149340868
300,32,0.001,tanh,0.015436317771673203
300,64,1e-05,linear,0.17766962945461273
300,64,1e-05,relu,0.12696599960327148
300,64,1e-05,tanh,0.18119743466377258
300,64,0.0001,linear,0.036808792501688004
300,64,0.0001,relu,0.07444379478693008
300,64,0.0001,tanh,0.03830842673778534
300,64,0.001,linear,0.02058563567698002
300,64,0.001,relu,0.02385341003537178
300,64,0.001,tanh,0.018907053396105766
300,128,1e-05,linear,0.16851475834846497
300,128,1e-05,relu,0.1132182702422142
300,128,1e-05,tanh,0.19146938621997833
300,128,0.0001,linear,0.06510458141565323
300,128,0.0001,relu,0.10771918296813965
300,128,0.0001,tanh,0.06312528997659683
300,128,0.001,linear,0.02322114259004593
300,128,0.001,relu,0.03324602171778679
300,128,0.001,tanh,0.02360072173178196
300,256,1e-05,linear,0.14347273111343384
300,256,1e-05,relu,0.13299258053302765
300,256,1e-05,tanh,0.18343527615070343
300,256,0.0001,linear,0.14925499260425568
300,256,0.0001,relu,0.12282896786928177
300,256,0.0001,tanh,0.09087018668651581
300,256,0.001,linear,0.02915482595562935
300,256,0.001,relu,0.035603199154138565
300,256,0.001,tanh,0.03088478557765484
350,4,0.001,linear,0.00870815090835094
350,4,0.001,relu,0.008116035722196102
350,4,0.001,tanh,0.00853701215237379
400,4,0.001,linear,0.009870815090835094
400,4,0.001,relu,0.007856151089072227
400,4,0.001,tanh,0.009357224218547344
